Name,Iata Code,Latitude,Longitude
Marshall Islands Int'l, MAJ, 7.0681, 171.2819
Macau Int'l, MFM, 22.1577, 113.5745
Aden Adde Int'l, MGQ, 2.0164, 45.3036
Maputo Int'l, MPM, -25.9243, 32.5742
Sir Seewoosagur Ramgoolam Int'l, MRU, -20.4318, 57.6770
Naples Int'l, NAP, 40.8781, 14.2828
Nouadhibou Int'l, NDB, 20.9291, -17.0334
Ningbo Lishe Int'l, NGB, 29.8208, 121.4618
Nouakchott Int'l, NKC, 18.0979, -15.9519
La Tontouta Int'l, NOU, -22.0136, 166.2172
Oakland Int'l, OAK, 37.7123, -122.2133
Ontario Int'l, ONT, 34.0602, -117.5923
Cork, ORK, 51.8485, -8.4901
Minangkabau Int'l, PDG, -0.7860, 100.2855
João Paulo II, PDL, 37.7433, -25.6970
Bacha Khan Int'l, PEW, 33.9914, 71.5188
Glasgow Prestwick, PIK, 55.5089, -4.6110
Ponta Porã Int'l, PMG, -22.5518, -55.7061
Palmerston N. Int'l, PMR, -40.3233, 175.6213
Pohnpei Int'l, PNI, 6.9813, 158.2033
Tahiti Faa'a Int'l, PPT, -17.5595, -149.6098
Pisa Galileo Galilei Int'l, PSA, 43.6983, 10.4001
Port Sudan, PZU, 19.5761, 37.2161
Praia Int'l, RAI, 14.9450, -23.4862
Marrakech-Menara, RAK, 31.6023, -8.0246
Rarotonga Int'l, RAR, -21.2010, -159.7982
Siem Reap Int'l, REP, 13.4088, 103.8158
Hermes Quijada Int'l, RGA, -53.7815, -67.7530
Piloto Civil Norberto Fernandez Int'l, RGL, -51.6117, -69.3065
Reno-Tahoe Int'l, RNO, 39.5058, -119.7753
Roman Tmetuchl Int'l, ROR, 7.3645, 134.5330
Amilcar Cabral Int'l, SID, 16.7348, -22.9441
Sarajevo, SJJ, 43.8259, 18.3366
Robert L. Bradshaw Int'l, SKB, 17.3111, -62.7142
Martín Miguel de Güemes Int, SLA, -24.8444, -65.4785
Saipan Int'l, SPN, 15.1215, 145.7237
Juana Azurduy de Padilla Int'l, SRE, -19.0139, -65.2929
Princess Juliana Int'l, SXM, 18.0422, -63.1123
Ta'izz Int'l, TAI, 13.6855, 44.1348
Qingdao Liuting Int'l, TAO, 36.2678, 120.3807
Chuuk Int'l, TKK, 7.4576, 151.8420
Tangier Ibn Battouta, TNG, 35.7258, -5.9129
Bonriki Int'l, TRW, 1.3807, 173.1460
Astana Int'l, TSE, 51.0269, 71.4609
Tianjin Binhai Int'l, TSN, 39.1295, 117.3527
Townsville, TSV, -19.2562, 146.7707
Teniente Gen. Benjamin Matienzo Int'l, TUC, -26.8357, -65.1081
Aeroport Tunis, TUN, 36.8474, 10.2177
Tucson Int'l, TUS, 32.1204, -110.9377
Chinggis Khaan Int'l, ULN, 47.8525, 106.7629
Ürümqi Diwopu Int'l, URC, 43.8983, 87.4671
Bauerfield Int'l, VLI, -17.7017, 168.3196
Wewak Int'l, WWK, -3.5802, 143.6691
Châlons Vatry, XCR, 48.7804, 4.1911
Xiamen Gaoqi Int'l, XMN, 24.5372, 118.1270
Yap Int'l, YAP, 9.4979, 138.0864
Playa de Oro Int'l, ZLO, 19.1481, -104.5601
Cayenne – Rochambeau, CAY, 4.8213, -52.3638
Irkutsk N.W., UIIR, 52.3616, 104.1974
Shijiazhuang Zhengding Int'l, SJW, 38.2781, 114.6923
Heydar Aliyev Int'l, GYD, 40.4627, 50.0498
Lakatamia Airbase, LAK, 35.1063, 33.3222
Cabo Frio Int'l, CFB, -22.9256, -42.0793
Helsinki-Malmi, HEM, 60.2494, 25.0455
Luxembourg-Findel, LUX, 49.6343, 6.2164
Venice Marco Polo, VCE, 45.5048, 12.3411
Yangyang Int'l, YNY, 38.0588, 128.6630
Tabatinga Int'l, TBT, -4.2503, -69.9395
Boa Vista Int'l, BVB, 2.8412, -60.6922
Gran Canaria, LPA, 27.9369, -15.3899
Com. Armando Tola Int'l, ING, -50.2839, -72.0539
Stockholm-Skavsta, NYO, 58.7851, 16.9216
Polonia Int'l, MES, 3.5666, 98.6762
Bangui M'Poko Int'l, BGF, 4.3989, 18.5241
Hangzhou Xiaoshan Int'l, HGH, 30.2352, 120.4321
Cassidy Int'l, CXI, 1.9862, -157.3498
Šiauliai Int'l, SQQ, 55.9038, 23.3832
Niue Int'l, IUE, -19.0767, -169.9261
Guaraní Int'l, AGT, -25.4569, -54.8394
Rodríguez Ballón Int'l, AQP, -16.3446, -71.5679
Vladivostok Int'l, VVO, 43.3776, 132.1398
Pristina, PRN, 42.5850, 21.0303
Deurne, ANR, 51.1891, 4.4509
Gen. Márquez de León Int'l, LAP, 24.0761, -110.3672
Harbin Taiping, HRB, 45.6206, 126.2370
Trivandrum Int'l, TRV, 8.4765, 76.9189
Adnan Menderes, ADB, 38.2912, 27.1493
Nanjing Lukou Int'l, NKG, 31.7353, 118.8661
Freeport Int'l, FPO, 26.5482, -78.7039
